,MAC_ADDRESS,TIMESTAMP,BIT_RATE,SIGNAL_STRENGTH
0,NULL,2021-05-05T17:44:14.483,NULL,NULL
1,NULL,2021-05-05T17:44:15.595,NULL,NULL
2,NULL,2021-05-05T17:44:16.701,NULL,NULL
3,NULL,2021-05-05T17:44:17.806,NULL,NULL
4,NULL,2021-05-05T17:44:18.912,NULL,NULL
5,NULL,2021-05-05T17:44:20.019,NULL,NULL
6,NULL,2021-05-05T17:44:21.121,NULL,NULL
7,NULL,2021-05-05T17:44:22.222,NULL,NULL
8,NULL,2021-05-05T17:44:23.324,NULL,NULL
9,NULL,2021-05-05T17:44:24.429,NULL,NULL
10,NULL,2021-05-05T17:44:25.542,NULL,NULL
11,NULL,2021-05-05T17:44:26.658,NULL,NULL
12,NULL,2021-05-05T17:44:27.773,NULL,NULL
13,NULL,2021-05-05T17:44:28.883,NULL,NULL
14,NULL,2021-05-05T17:44:29.988,NULL,NULL
15,NULL,2021-05-05T17:44:31.092,NULL,NULL
16,NULL,2021-05-05T17:44:32.197,NULL,NULL
17,NULL,2021-05-05T17:44:33.314,NULL,NULL
18,NULL,2021-05-05T17:44:34.421,NULL,NULL
19,NULL,2021-05-05T17:44:35.523,NULL,NULL
20,NULL,2021-05-05T17:44:36.625,NULL,NULL
21,NULL,2021-05-05T17:44:37.730,NULL,NULL
22,NULL,2021-05-05T17:44:38.835,NULL,NULL
23,NULL,2021-05-05T17:44:39.940,NULL,NULL
24,NULL,2021-05-05T17:44:41.045,NULL,NULL
25,NULL,2021-05-05T17:44:42.150,NULL,NULL
26,NULL,2021-05-05T17:44:43.255,NULL,NULL
27,NULL,2021-05-05T17:44:44.360,NULL,NULL
28,NULL,2021-05-05T17:44:45.465,NULL,NULL
29,NULL,2021-05-05T17:44:46.562,NULL,NULL
30,NULL,2021-05-05T17:44:47.666,NULL,NULL
31,NULL,2021-05-05T17:44:48.768,NULL,NULL
32,NULL,2021-05-05T17:44:49.875,NULL,NULL
33,NULL,2021-05-05T17:44:50.981,NULL,NULL
34,NULL,2021-05-05T17:44:52.086,NULL,NULL
35,NULL,2021-05-05T17:44:53.191,NULL,NULL
36,NULL,2021-05-05T17:44:54.294,NULL,NULL
37,NULL,2021-05-05T17:44:55.386,NULL,NULL
38,NULL,2021-05-05T17:44:56.491,NULL,NULL
39,NULL,2021-05-05T17:44:57.596,NULL,NULL
40,NULL,2021-05-05T17:44:58.701,NULL,NULL
41,NULL,2021-05-05T17:45:00.463,NULL,NULL
42,NULL,2021-05-05T17:45:01.569,NULL,NULL
43,NULL,2021-05-05T17:45:02.671,NULL,NULL
44,NULL,2021-05-05T17:45:03.776,NULL,NULL
45,NULL,2021-05-05T17:45:04.881,NULL,NULL
46,NULL,2021-05-05T17:45:05.986,NULL,NULL
47,NULL,2021-05-05T17:45:07.077,NULL,NULL
48,NULL,2021-05-05T17:45:08.182,NULL,NULL
49,NULL,2021-05-05T17:45:09.288,NULL,NULL
50,NULL,2021-05-05T17:45:10.393,NULL,NULL
51,NULL,2021-05-05T17:45:11.497,NULL,NULL
52,NULL,2021-05-05T17:45:12.602,NULL,NULL
53,NULL,2021-05-05T17:45:13.689,NULL,NULL
54,NULL,2021-05-05T17:45:14.791,NULL,NULL
55,NULL,2021-05-05T17:45:15.900,NULL,NULL
56,NULL,2021-05-05T17:45:17.014,NULL,NULL
57,NULL,2021-05-05T17:45:18.120,NULL,NULL
58,NULL,2021-05-05T17:45:19.225,NULL,NULL
59,NULL,2021-05-05T17:45:20.330,NULL,NULL
60,NULL,2021-05-05T17:45:21.434,NULL,NULL
61,NULL,2021-05-05T17:45:22.538,NULL,NULL
62,NULL,2021-05-05T17:45:23.643,NULL,NULL
63,NULL,2021-05-05T17:45:24.749,NULL,NULL
64,NULL,2021-05-05T17:45:25.850,NULL,NULL
65,NULL,2021-05-05T17:45:26.953,NULL,NULL
66,NULL,2021-05-05T17:45:28.054,NULL,NULL
67,NULL,2021-05-05T17:45:29.155,NULL,NULL
68,NULL,2021-05-05T17:45:30.257,NULL,NULL
69,NULL,2021-05-05T17:45:31.358,NULL,NULL
70,NULL,2021-05-05T17:45:32.459,NULL,NULL
71,NULL,2021-05-05T17:45:33.563,NULL,NULL
72,NULL,2021-05-05T17:45:34.669,NULL,NULL
73,NULL,2021-05-05T17:45:35.773,NULL,NULL
74,NULL,2021-05-05T17:45:36.879,NULL,NULL
75,NULL,2021-05-05T17:45:37.985,NULL,NULL
76,NULL,2021-05-05T17:45:39.090,NULL,NULL
